species,flipper_length_mm,sex
Adelie,181,Male
Adelie,186,Female
Adelie,195,Female
Adelie,193,Female
Adelie,190,Male
Adelie,181,Female
Adelie,195,Male
Adelie,182,Female
Adelie,191,Male
Adelie,198,Male
Adelie,185,Female
Adelie,195,Female
Adelie,197,Male
Adelie,184,Female
Adelie,194,Male
Adelie,174,Female
Adelie,180,Male
Adelie,189,Female
Adelie,185,Male
Adelie,180,Male
Adelie,187,Female
Adelie,183,Male
Adelie,187,Female
Adelie,172,Female
Adelie,180,Male
Adelie,178,Female
Adelie,178,Male
Adelie,188,Female
Adelie,184,Male
Adelie,195,Female
Adelie,196,Male
Adelie,190,Male
Adelie,180,Female
Adelie,181,Female
Adelie,184,Male
Adelie,182,Female
Adelie,195,Male
Adelie,186,Female
Adelie,196,Male
Adelie,185,Female
Adelie,190,Male
Adelie,182,Male
Adelie,190,Female
Adelie,191,Male
Adelie,186,Female
Adelie,188,Male
Adelie,190,Female
Adelie,200,Male
Adelie,187,Female
Adelie,191,Male
Adelie,186,Female
Adelie,193,Male
Adelie,181,Female
Adelie,194,Male
Adelie,185,Female
Adelie,195,Male
Adelie,185,Female
Adelie,192,Male
Adelie,184,Female
Adelie,192,Male
Adelie,195,Female
Adelie,188,Male
Adelie,190,Female
Adelie,198,Male
Adelie,190,Female
Adelie,190,Male
Adelie,196,Female
Adelie,197,Male
Adelie,190,Female
Adelie,195,Male
Adelie,191,Female
Adelie,184,Male
Adelie,187,Female
Adelie,195,Male
Adelie,189,Female
Adelie,196,Male
Adelie,187,Female
Adelie,193,Male
Adelie,191,Female
Adelie,194,Male
Adelie,190,Male
Adelie,189,Female
Adelie,189,Male
Adelie,190,Female
Adelie,202,Female
Adelie,205,Male
Adelie,185,Female
Adelie,186,Male
Adelie,187,Female
Adelie,208,Male
Adelie,190,Female
Adelie,196,Male
Adelie,178,Female
Adelie,192,Male
Adelie,192,Female
Adelie,203,Male
Adelie,183,Female
Adelie,190,Male
Adelie,193,Female
Adelie,184,Male
Adelie,199,Female
Adelie,190,Male
Adelie,181,Female
Adelie,197,Male
Adelie,198,Female
Adelie,191,Male
Adelie,193,Female
Adelie,197,Male
Adelie,191,Female
Adelie,196,Male
Adelie,188,Female
Adelie,199,Male
Adelie,189,Female
Adelie,189,Male
Adelie,187,Female
Adelie,198,Male
Adelie,176,Female
Adelie,202,Male
Adelie,186,Female
Adelie,199,Male
Adelie,191,Female
Adelie,195,Male
Adelie,191,Female
Adelie,210,Male
Adelie,190,Female
Adelie,197,Male
Adelie,193,Female
Adelie,199,Male
Adelie,187,Female
Adelie,190,Male
Adelie,191,Female
Adelie,200,Male
Adelie,185,Female
Adelie,193,Male
Adelie,193,Female
Adelie,187,Male
Adelie,188,Female
Adelie,190,Male
Adelie,192,Female
Adelie,185,Male
Adelie,190,Male
Adelie,184,Female
Adelie,195,Female
Adelie,193,Male
Adelie,187,Female
Adelie,201,Male
